name	term	lev	seq	value
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000009089	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000009134	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000009195	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000009325	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000009809	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000010122	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000010753	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000010976	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000011193	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000011206	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000011705	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000012178	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000012462	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000012747	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000012881	1
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000013469	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000013698	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000013739	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014151	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014164	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014224	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014240	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014300	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014301	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014308	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014322	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014344	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014399	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000014512	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000015262	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000015286	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000015594	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000015991	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000016026	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000016060	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000016417	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000018210	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000018339	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000018652	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000018781	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000018864	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000019455	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000019790	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000020407	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000020877	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000021294	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000021489	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000021664	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000021710	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000021920	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000022146	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000022669	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000022727	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000022823	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000023601	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000023688	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000024244	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000024472	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000024519	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000024648	0
"protein serine/threonine phosphatase activity"	GO:0004722;GO:0017018	3	ENSAPEG00000024760	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000000029	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000000032	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000000821	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000001983	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000004222	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000005445	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000005901	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000006795	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000006926	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000007067	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000007551	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000007746	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000011121	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000011263	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000012563	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000014104	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000015775	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000016323	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000018083	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000018425	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000018819	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000019171	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000019210	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000019425	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000021153	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000021944	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000021947	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000022445	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000022456	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000022809	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000022937	0
"endoribonuclease activity"	GO:0004521	2	ENSAPEG00000023583	0
"chitin binding"	GO:0008061;GO:0004568	3	ENSAPEG00000003491	0
"chitin binding"	GO:0008061;GO:0004568	3	ENSAPEG00000003515	0
"chitin binding"	GO:0008061;GO:0004568	3	ENSAPEG00000003560	0
"chitin binding"	GO:0008061;GO:0004568	3	ENSAPEG00000004831	0
"chitin binding"	GO:0008061;GO:0004568	3	ENSAPEG00000007546	0
"chitin binding"	GO:0008061;GO:0004568	3	ENSAPEG00000019467	0
"chitin binding"	GO:0008061;GO:0004568	3	ENSAPEG00000019503	1
"chitin binding"	GO:0008061;GO:0004568	3	ENSAPEG00000021760	0
"helicase activity"	GO:0004386	5	ENSAPEG00000000984	0
"helicase activity"	GO:0004386	5	ENSAPEG00000001055	0
"helicase activity"	GO:0004386	5	ENSAPEG00000001133	0
"helicase activity"	GO:0004386	5	ENSAPEG00000001421	0
"helicase activity"	GO:0004386	5	ENSAPEG00000001495	0
"helicase activity"	GO:0004386	5	ENSAPEG00000001757	0
"helicase activity"	GO:0004386	5	ENSAPEG00000002040	0
"helicase activity"	GO:0004386	5	ENSAPEG00000002143	0
"helicase activity"	GO:0004386	5	ENSAPEG00000002196	0
"helicase activity"	GO:0004386	5	ENSAPEG00000002204	0
"helicase activity"	GO:0004386	5	ENSAPEG00000002348	0
"helicase activity"	GO:0004386	5	ENSAPEG00000002711	0
"helicase activity"	GO:0004386	5	ENSAPEG00000002878	0
"helicase activity"	GO:0004386	5	ENSAPEG00000003037	0
"helicase activity"	GO:0004386	5	ENSAPEG00000003447	0
"helicase activity"	GO:0004386	5	ENSAPEG00000003656	0
"helicase activity"	GO:0004386	5	ENSAPEG00000004260	0
"helicase activity"	GO:0004386	5	ENSAPEG00000004418	0
"helicase activity"	GO:0004386	5	ENSAPEG00000004492	0
"helicase activity"	GO:0004386	5	ENSAPEG00000004817	0
"helicase activity"	GO:0004386	5	ENSAPEG00000004829	0
"helicase activity"	GO:0004386	5	ENSAPEG00000005376	0
"helicase activity"	GO:0004386	5	ENSAPEG00000005489	0
"helicase activity"	GO:0004386	5	ENSAPEG00000005641	0
"helicase activity"	GO:0004386	5	ENSAPEG00000005957	0
"helicase activity"	GO:0004386	5	ENSAPEG00000005976	0
"helicase activity"	GO:0004386	5	ENSAPEG00000005998	0
"helicase activity"	GO:0004386	5	ENSAPEG00000006057	0
"helicase activity"	GO:0004386	5	ENSAPEG00000006181	0
"helicase activity"	GO:0004386	5	ENSAPEG00000006287	0
"helicase activity"	GO:0004386	5	ENSAPEG00000006292	0
"helicase activity"	GO:0004386	5	ENSAPEG00000006339	0
"helicase activity"	GO:0004386	5	ENSAPEG00000006341	0
"helicase activity"	GO:0004386	5	ENSAPEG00000006367	0
"helicase activity"	GO:0004386	5	ENSAPEG00000006690	0
"helicase activity"	GO:0004386	5	ENSAPEG00000006805	0
"helicase activity"	GO:0004386	5	ENSAPEG00000007108	1
"helicase activity"	GO:0004386	5	ENSAPEG00000007267	0
"helicase activity"	GO:0004386	5	ENSAPEG00000007293	0
"helicase activity"	GO:0004386	5	ENSAPEG00000007387	0
"helicase activity"	GO:0004386	5	ENSAPEG00000007646	0
"helicase activity"	GO:0004386	5	ENSAPEG00000007699	0
"helicase activity"	GO:0004386	5	ENSAPEG00000007996	0
"helicase activity"	GO:0004386	5	ENSAPEG00000008001	0
"helicase activity"	GO:0004386	5	ENSAPEG00000009660	0
"helicase activity"	GO:0004386	5	ENSAPEG00000011003	0
"helicase activity"	GO:0004386	5	ENSAPEG00000011410	0
"helicase activity"	GO:0004386	5	ENSAPEG00000011785	0
"helicase activity"	GO:0004386	5	ENSAPEG00000012554	0
"helicase activity"	GO:0004386	5	ENSAPEG00000012868	0
"helicase activity"	GO:0004386	5	ENSAPEG00000013047	0
"helicase activity"	GO:0004386	5	ENSAPEG00000013433	0
"helicase activity"	GO:0004386	5	ENSAPEG00000013599	0
"helicase activity"	GO:0004386	5	ENSAPEG00000013725	0
"helicase activity"	GO:0004386	5	ENSAPEG00000014200	0
"helicase activity"	GO:0004386	5	ENSAPEG00000014287	0
"helicase activity"	GO:0004386	5	ENSAPEG00000014316	0
"helicase activity"	GO:0004386	5	ENSAPEG00000014402	0
"helicase activity"	GO:0004386	5	ENSAPEG00000014476	0
"helicase activity"	GO:0004386	5	ENSAPEG00000014634	0
"helicase activity"	GO:0004386	5	ENSAPEG00000014670	0
"helicase activity"	GO:0004386	5	ENSAPEG00000014685	0
"helicase activity"	GO:0004386	5	ENSAPEG00000014873	0
"helicase activity"	GO:0004386	5	ENSAPEG00000015241	0
"helicase activity"	GO:0004386	5	ENSAPEG00000015245	0
"helicase activity"	GO:0004386	5	ENSAPEG00000015386	0
"helicase activity"	GO:0004386	5	ENSAPEG00000015778	0
"helicase activity"	GO:0004386	5	ENSAPEG00000015999	0
"helicase activity"	GO:0004386	5	ENSAPEG00000016344	0
"helicase activity"	GO:0004386	5	ENSAPEG00000016712	0
"helicase activity"	GO:0004386	5	ENSAPEG00000016808	0
"helicase activity"	GO:0004386	5	ENSAPEG00000016857	0
"helicase activity"	GO:0004386	5	ENSAPEG00000017040	0
"helicase activity"	GO:0004386	5	ENSAPEG00000017193	0
"helicase activity"	GO:0004386	5	ENSAPEG00000017450	0
"helicase activity"	GO:0004386	5	ENSAPEG00000017509	0
"helicase activity"	GO:0004386	5	ENSAPEG00000017573	0
"helicase activity"	GO:0004386	5	ENSAPEG00000018105	0
"helicase activity"	GO:0004386	5	ENSAPEG00000018317	0
"helicase activity"	GO:0004386	5	ENSAPEG00000018658	0
"helicase activity"	GO:0004386	5	ENSAPEG00000018872	0
"helicase activity"	GO:0004386	5	ENSAPEG00000019384	0
"helicase activity"	GO:0004386	5	ENSAPEG00000019407	0
"helicase activity"	GO:0004386	5	ENSAPEG00000020102	0
"helicase activity"	GO:0004386	5	ENSAPEG00000020306	0
"helicase activity"	GO:0004386	5	ENSAPEG00000020642	0
"helicase activity"	GO:0004386	5	ENSAPEG00000020712	0
"helicase activity"	GO:0004386	5	ENSAPEG00000020721	0
"helicase activity"	GO:0004386	5	ENSAPEG00000020946	0
"helicase activity"	GO:0004386	5	ENSAPEG00000021368	0
"helicase activity"	GO:0004386	5	ENSAPEG00000021713	0
"helicase activity"	GO:0004386	5	ENSAPEG00000021954	0
"helicase activity"	GO:0004386	5	ENSAPEG00000022154	0
"helicase activity"	GO:0004386	5	ENSAPEG00000022230	0
"helicase activity"	GO:0004386	5	ENSAPEG00000022281	0
"helicase activity"	GO:0004386	5	ENSAPEG00000022503	0
"helicase activity"	GO:0004386	5	ENSAPEG00000022508	0
"helicase activity"	GO:0004386	5	ENSAPEG00000022648	0
"helicase activity"	GO:0004386	5	ENSAPEG00000022809	0
"helicase activity"	GO:0004386	5	ENSAPEG00000022846	0
"helicase activity"	GO:0004386	5	ENSAPEG00000022898	0
"helicase activity"	GO:0004386	5	ENSAPEG00000023023	0
"helicase activity"	GO:0004386	5	ENSAPEG00000023077	0
"helicase activity"	GO:0004386	5	ENSAPEG00000023108	0
"helicase activity"	GO:0004386	5	ENSAPEG00000023456	0
"helicase activity"	GO:0004386	5	ENSAPEG00000023765	0
"pyrimidine nucleotide-sugar transmembrane transporter activity"	GO:0015165;GO:0005338	3	ENSAPEG00000005288	0
"pyrimidine nucleotide-sugar transmembrane transporter activity"	GO:0015165;GO:0005338	3	ENSAPEG00000006395	0
"pyrimidine nucleotide-sugar transmembrane transporter activity"	GO:0015165;GO:0005338	3	ENSAPEG00000008810	0
"pyrimidine nucleotide-sugar transmembrane transporter activity"	GO:0015165;GO:0005338	3	ENSAPEG00000016523	0
"pyrimidine nucleotide-sugar transmembrane transporter activity"	GO:0015165;GO:0005338	3	ENSAPEG00000020922	0
"pyrimidine nucleotide-sugar transmembrane transporter activity"	GO:0015165;GO:0005338	3	ENSAPEG00000022878	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000000996	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000001292	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000004523	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000009089	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000009134	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000009307	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000011514	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000011694	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000012940	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000016531	0
"phosphatidylinositol-3-phosphatase activity"	GO:0004438;GO:0052744	4	ENSAPEG00000021557	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000002357	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000002885	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000003218	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000004885	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000005486	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000006193	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000007437	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000007631	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000009872	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000011621	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000013484	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000014917	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000015500	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000015573	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000015895	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000016620	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000016999	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000017416	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000017847	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000019078	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000020144	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000024131	0
"deacetylase activity"	GO:0019213	2	ENSAPEG00000024575	0
"calmodulin-dependent protein phosphatase activity"	GO:0033192;GO:0004723	2	ENSAPEG00000008577	0
"calmodulin-dependent protein phosphatase activity"	GO:0033192;GO:0004723	2	ENSAPEG00000021489	0
"calmodulin-dependent protein phosphatase activity"	GO:0033192;GO:0004723	2	ENSAPEG00000022727	0
"calmodulin-dependent protein phosphatase activity"	GO:0033192;GO:0004723	2	ENSAPEG00000024244	0
"calmodulin-dependent protein phosphatase activity"	GO:0033192;GO:0004723	2	ENSAPEG00000024519	0
"gamma-glutamylcyclotransferase activity"	GO:0003839	5	ENSAPEG00000002117	0
"gamma-glutamylcyclotransferase activity"	GO:0003839	5	ENSAPEG00000011724	0
"gamma-glutamylcyclotransferase activity"	GO:0003839	5	ENSAPEG00000012577	1
"gamma-glutamylcyclotransferase activity"	GO:0003839	5	ENSAPEG00000022001	1
"gamma-glutamylcyclotransferase activity"	GO:0003839	5	ENSAPEG00000022979	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000000941	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000001236	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000001651	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000001722	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000002251	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000003077	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000003838	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000005817	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000007259	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000007675	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000008606	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000008940	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000008980	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000009059	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000009546	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000009840	0
"obsolete small monomeric GTPase activity"	GO:0003925	-1	ENSAPEG00000009844	0
